review_score,review_count,price,address,image,star,Pool,No_smoking_room,Families_room,Room_service,Free_parking,Breakfast,24h_front_desk,Airport_shuttle,Staff,Facilities,Cleanliness,Comfort,Affordable,Location,Wifi
6.4,270,170000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/220327546.jpg?k=4355e49c25eebc433d1bd88cffc983d56702265d987377786cbe53805d0df30c&o=,0,1,0,1,1,0,0,1,0,7.3,6.5,6.7,6.5,7.6,7.9,7.5
8.5,156,180000,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square240/469652243.jpg?k=d6897bedfc18141f215b400b334ddaf9c48ab3b57005643c157bd33a39f763a1&o=,0,1,0,0,1,1,1,1,0,9.6,8.2,8.2,8.2,9.1,9.4,
7.0,18,220000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/511934386.jpg?k=ad78006b2555d6903c60ab317bb815c502af4ab8874092e6c7fbb7d1e7517f10&o=,0,1,0,1,1,1,0,1,0,8.5,6.5,6.4,6.6,7.5,8.0,
8.0,274,230000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/444936091.jpg?k=12485b7f7ec19065678486c6dfaace3db1ad3029329872e31cb9cfcb0d523eb8&o=,0,1,0,1,1,0,0,0,0,9.2,7.6,7.8,7.8,8.6,9.2,8.1
7.2,178,250000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square240/480486575.jpg?k=7bc2032a16604c67c8cac6e2c1cceb9c5540ed9505017a66c48df75de8692b26&o=,0,1,1,1,0,1,1,0,0,8.1,7.2,7.1,7.2,7.9,7.8,7.8
8.8,6,250000,Quận 12,https://cf.bstatic.com/xdata/images/hotel/square240/502418580.jpg?k=7000b824274381238972f2b9a2f08b4a8ae037f8ec372934f0b77695178cbf86&o=,0,1,1,1,1,1,0,1,0,9.1,9.4,9.4,9.1,9.4,8.9,
7.4,66,255000,Quận Bình Tân,https://cf.bstatic.com/xdata/images/hotel/square240/177694196.jpg?k=f3b635d5d14712828739bacc7b8797f738ce412b73435c02c4a0004f2062c6fa&o=,0,1,1,1,1,1,0,1,1,7.9,7.1,7.3,7.3,7.6,8.0,6.3
8.0,348,258000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/370558283.jpg?k=233f045b9a89dfd17a6ad459e820fcd949be690d2a228784e75008a5643c383e&o=,0,1,0,0,0,0,0,0,0,8.6,7.8,8.2,8.0,8.7,9.0,9.8
8.0,343,260000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/479060977.jpg?k=4683ba2a9dc3a939b638f0c664b2d957b7b837da330a50512a057e60207e92a0&o=,0,1,0,1,0,1,1,1,1,8.8,8.1,8.2,8.3,8.8,9.3,9.6
6.2,8,260000,Quận 2,https://cf.bstatic.com/xdata/images/hotel/square240/494263238.jpg?k=e81b2c306208078886e260963940b41317caaa5161ea9fc5862c6cc1be2b9829&o=,0,1,0,0,0,1,0,1,0,7.5,6.3,6.6,6.6,6.9,8.4,
8.5,482,275000,Quận Phú Nhuận,https://cf.bstatic.com/xdata/images/hotel/square240/506023961.jpg?k=e7cd581dc3e1ba9e54fb2b8a6971d7d2ffa1bf1e1ef8279f81050d9126dc0f4e&o=,0,1,0,0,0,1,0,0,0,9.2,8.5,8.5,8.5,9.0,8.4,8.9
